# 🧠 CHARLES'S SUPER BRAIN - ADVANCED SCANNER V2
## 2026-02-25 | 43 Stocks Analyzed

## ⚡ Advanced Algorithms
- Piotroski F-Score (0-9)
- Graham Number (Intrinsic Value)
- Altman Z-Score (Bankruptcy Risk)
- Technical Analysis
- Institutional Momentum

## 🏆 TOP ADVANCED PICKS
| Rank | Code | Name | Sector | Score | Piotroski | Altman Z | Risk |
|------|------|------|--------|-------|-----------|-----------|------|
| 1 | 300476 | 中际旭创 | AI硬件 | **109.5** | 9/9 | 87.2 | LOW |
| 2 | 300308 | 中际旭创 | AI硬件 | **108.5** | 9/9 | 81.9 | LOW |
| 3 | 300750 | 宁德时代 | 新能源 | **105.4** | 8/9 | 76.6 | LOW |
| 4 | 300014 | 亿纬锂能 | 新能源 | **104.9** | 8/9 | 68.5 | LOW |
| 5 | 002594 | 比亚迪 | 新能源 | **104.2** | 8/9 | 81.7 | LOW |
| 6 | 300018 | 中科创达 | 科技 | **103.8** | 9/9 | 60.4 | LOW |
| 7 | 300502 | 新易盛 | 科技 | **103.4** | 9/9 | 68.5 | LOW |
| 8 | 300033 | 同花顺 | 科技 | **102.8** | 9/9 | 76.3 | LOW |
| 9 | 300122 | 智飞生物 | 医药 | **102.8** | 9/9 | 94.8 | LOW |
| 10 | 872926 | 贝特瑞 | 新能源 | **102.5** | 9/9 | 76.5 | LOW |
| 11 | 835670 | 数字人 | AI教育 | **100.7** | 9/9 | 50 | LOW |
| 12 | 870299 | 吉林碳谷 | 新材料 | **100.5** | 9/9 | 68.5 | LOW |
| 13 | 002475 | 立讯精密 | 科技 | **100.3** | 8/9 | 60.3 | LOW |
| 14 | 300672 | NOVA科技 | 科技 | **100.2** | 9/9 | 49.8 | LOW |
| 15 | 600196 | 复星医药 | 医药 | **100.2** | 9/9 | 49.7 | LOW |
| 16 | 1024 | 快手 | 科技 | **99.1** | 9/9 | 49.7 | LOW |
| 17 | 3690 | 美团 | 科技 | **98.9** | 8/9 | 60.2 | LOW |
| 18 | 300015 | 爱尔眼科 | 医药 | **98.8** | 8/9 | 68.3 | LOW |
| 19 | 871212 | 安达科技 | 新能源 | **98.4** | 8/9 | 60.5 | LOW |
| 20 | 600276 | 恒瑞医药 | 医药 | **98.1** | 8/9 | 55 | LOW |
| 21 | 000858 | 五粮液 | 消费 | **97.9** | 8/9 | 86.7 | LOW |
| 22 | 1810 | 小米集团 | 科技 | **97.3** | 8/9 | 41.7 | LOW |
| 23 | 0700 | 腾讯控股 | 科技 | **97** | 7/9 | 76 | LOW |
| 24 | 9988 | 阿里巴巴 | 科技 | **96.3** | 7/9 | 49.7 | LOW |
| 25 | 601012 | 隆基绿能 | 新能源 | **95.1** | 7/9 | 60.4 | LOW |
| 26 | 300339 | 润和软件 | 科技 | **95** | 8/9 | 39.2 | LOW |
| 27 | 600519 | 贵州茅台 | 消费 | **93.2** | 7/9 | 94.6 | LOW |
| 28 | 870864 | 红东方 | 化工 | **92.8** | 8/9 | 65.6 | LOW |
| 29 | 600309 | 万华化学 | 化工 | **92.6** | 7/9 | 76.1 | LOW |
| 30 | 300059 | 东方财富 | 金融 | **92** | 7/9 | 60.2 | LOW |

---
*🧠 Charles's Super Brain - Advanced Scanner V2*
