Signal,Stock,Sector,Price,Change,Volume,Score,Our Entry,PnL,Status
BUY,铜陵有色,有色金属,6.08,6.5,6,80,7.28,-16.48,OUR POSITION
BUY,灿能电力,电力,8.99,8.99,0,80,8.99,0.00,OUR POSITION
BUY,华能国际,电力,7.48,7.49,7,80,,,WATCH
WATCH,格林美,新能源,7.89,8.24,8,70,9.08,-13.11,OUR POSITION
WATCH,华能国际,电力,10.26,10.26,10,70,,,WATCH
WATCH,鹏华资产,电力,4.95,4.98,4,60,,,WATCH
WAIT,亚光科技,科技,6.81,7.07,6,55,,,WATCH
WAIT,中环装备,环保,7.49,7.76,7,55,,,WATCH
WAIT,湖南黄金,黄金,29.6,31.49,30,35,,,WATCH
WAIT,中金黄金,黄金,26.7,28.96,27,35,,,WATCH
WAIT,数字人,AI教育,18.45,18.45,0,20,29.14,-36.68,OUR POSITION
WAIT,贝特瑞,新能源,NaN,NaN,0,15,68,NaN,OUR POSITION
WAIT,宁德时代,新能源,400.5,402.02,401,15,,,WATCH
WAIT,紫金矿业,黄金,32.32,34.92,33,15,,,WATCH
WAIT,比亚迪,新能源,102.31,101.69,100,15,,,WATCH
WAIT,国科科技,钢铁,NaN,NaN,0,0,,,WATCH
WAIT,同花顺,科技,322.33,320.88,316,0,,,WATCH
WAIT,江西铜业,铜业,45.67,48.26,46,0,,,WATCH
WAIT,中际旭创,科技,277.28,289.65,281,0,178.96,54.94,OUR POSITION
